,All Transcripts,,Annotated (E-value < 10-5),,n,DE,%,Up,Down,,n,DE,%,Up
Coral,47,748,1805,3.78%,1460,345,,20,502,559,3.70%,459
Non-Coral,47,641,551,1.16%,549,2,,14,253,251,1.76%,251
